Step_1-AveragePolicyStd,ItrTime,Step_1-AverageDiscountedReturn,KLCoeffInner,Step_0-MinReturn,Time-SampleProc,Step_1-StdReturn,n_timesteps,Step_0-AverageDiscountedReturn,Step_1-MinReturn,Time,Time-InnerStep,Step_0-AveragePolicyStd,Step_0-MaxReturn,Itr,Step_0-EnvExecTime,Time-MAMLSteps,Step_0-PolicyExecTime,Step_1-NumTrajs,LossAfter,Step_1-EnvExecTime,Step_1-AverageReturn,Step_0-NumTrajs,Step_0-AverageReturn,Step_1-MaxReturn,Time-Sampling,Step_1-PolicyExecTime,Step_0-StdReturn,Time-TotalInner,Time-OuterStep,KLInner,LossBefore
1.0000701,68.35930752754211,0.01849971695843701,0.0005,-0.01344353508097429,0.43258166313171387,0.08547425360417135,160000,0.010905955646050045,-0.009297266628204515,68.35930919647217,3.4106218814849854,1.0,0.49697052076344983,0,3.9043827056884766,51.22575902938843,1.2360825538635254,800,-0.0063188174,3.9409239292144775,0.03536367044560731,800,0.02081788398164832,0.5231477387049481,12.655348062515259,2.5737264156341553,0.059055144824150654,16.51361107826233,51.22452259063721,0.008874422,1.8030408e-10
1.0047455,13.460494995117188,0.05515870212966627,0.0005,0.0,0.5038440227508545,0.21526136432138876,320000,0.03258708887584966,-0.0036333571966515876,81.8505973815918,0.10201859474182129,1.0041449,1.1382577451173002,1,4.075179100036621,1.3760771751403809,0.591228723526001,800,-0.0027567386,4.035154342651367,0.10663471348921093,800,0.06419372175908451,1.1914515366395213,11.414237976074219,1.7188398838043213,0.1627540905746276,12.036856412887573,1.3722007274627686,0.012431317,2.2538042e-10
1.0055745,14.32568097114563,0.08492707509097451,0.0005,0.0,0.3944852352142334,0.2998638683906636,480000,0.06463678619428491,-0.025754078898181154,96.19824266433716,0.09997773170471191,1.0059083,1.2803594844463646,2,4.420696973800659,1.3768186569213867,0.6094787120819092,800,-0.0012768894,4.544569492340088,0.15994625934713733,800,0.12168812278442914,1.3741518523899163,12.387694597244263,1.7871501445770264,0.2525704894896022,12.907323122024536,1.3750178813934326,0.00934284,-2.0377353e-10
1.006604,17.440046310424805,0.12427763177499543,0.0005,-0.3930941456351946,0.440091609954834,0.3859064033556649,640000,0.09809474471839977,-0.2662105929366234,113.65303063392639,0.12331843376159668,1.0061818,1.8135628892717732,3,5.634331226348877,1.4889750480651855,0.681194543838501,800,-0.0006473588,5.863056182861328,0.2239690251135703,800,0.17626113361835025,1.6728413668854403,15.320362567901611,2.0159707069396973,0.34289280679957884,15.901334047317505,1.4879906177520752,0.0066278935,5.608423e-10
1.0064504,17.754748821258545,0.1507989890850024,0.0005,-0.576403128681227,0.5762190818786621,0.4915577507918827,800000,0.12016163579552451,-0.5798025331788641,131.42530870437622,0.16872882843017578,1.0066605,2.33615606880423,4,6.017448425292969,1.3845243453979492,0.6987771987915039,800,-0.0008618295,5.7490081787109375,0.27381623785022524,800,0.21647001993922507,2.2754780698843997,15.55846381187439,1.9874389171600342,0.44036394524893385,16.329787731170654,1.3832573890686035,0.008153917,2.0958484e-09
1.0075288,16.223049879074097,0.1855966544831829,0.0005,-0.34132852293639404,0.5413405895233154,0.6057225381797311,960000,0.15204168956795416,-0.6389675879702494,147.66624307632446,0.10073232650756836,1.0071946,2.3278210799078534,5,5.159097671508789,1.6526706218719482,0.6259331703186035,800,4.3287955e-06,5.116095542907715,0.34059204024601525,800,0.2796943071746581,2.4582266480637522,13.865721940994263,1.8625826835632324,0.5431809734580931,14.525431394577026,1.6509571075439453,0.0041639395,-9.411947e-10
1.007874,22.280147314071655,0.15557063879444713,0.0005,-0.45974090902896236,0.7794449329376221,0.5581746691146929,1120000,0.1542665261061199,-0.41371039743067994,169.97827816009521,0.17270612716674805,1.0080206,2.4280992553468264,6,7.1144537925720215,1.8233001232147217,0.7581703662872314,800,-0.000667878,7.698330402374268,0.27555898551241526,800,0.27633750782956484,2.313781824771752,19.439964056015015,2.491868495941162,0.5470775929597471,20.412747144699097,1.8225300312042236,0.0020541176,5.4679807e-09
1.0080179,20.813032627105713,0.19368603160493594,0.0005,-0.18458216280750728,0.6121771335601807,0.5947880034695249,1280000,0.15008468849089396,-0.36921283579270714,190.8147211074829,0.13013219833374023,1.0081576,2.3447821790539827,7,6.892124891281128,1.7988393306732178,0.7724671363830566,800,-0.00071235053,6.933974027633667,0.34400491796093374,800,0.264763394410237,2.4443493406071326,18.1995210647583,2.2788608074188232,0.5304956205742755,18.961506605148315,1.7966082096099854,0.005113423,2.9571354e-09
1.008546,21.509620189666748,0.1714226513050985,0.0005,-0.19770506988815217,0.636277437210083,0.5688251637541226,1440000,0.15968305496550086,-0.3732396212823974,212.34534215927124,0.17333459854125977,1.0085621,2.417147929800995,8,7.2475855350494385,1.8119053840637207,0.7795860767364502,800,-0.00018274198,6.88691258430481,0.31307408135376324,800,0.29039823168153023,2.4264687164848526,18.82034420967102,2.5443921089172363,0.5758218620095918,19.649573802947998,1.8108372688293457,0.0046353,-7.1804984e-10
1.0084907,23.32185411453247,0.180948221619959,0.0005,-0.1927624194451627,0.5728847980499268,0.5943070031932409,1600000,0.15728156429940482,-0.07839762279249562,235.69546937942505,0.13634943962097168,1.0082779,2.3791357217013576,9,7.022176265716553,1.8636970520019531,0.7762415409088135,800,-0.00041678085,7.36466646194458,0.32441868789953676,800,0.28519280307578937,2.395888806539082,20.653986930847168,2.3596954345703125,0.5614972246042839,21.388593912124634,1.8612854480743408,0.0033813969,1.2140722e-09
